sort, 2.5953, 0.0013, 1.0000, 0.0034
binary search, 2.8434, 0.0132, 1.0000, 0.0037
sqrt, 2.8675, 0.0022, 1.0000, 0.0079
arithmetic, 1.9187, 0.0020, 1.0000, 0.0036
